Isolate	Chromosome	Region	Start	End	Most similar known cluster	Similarity	Type	Type_broad
0423_1	0423_1_cont_00	1.1	187261	246412	no_known_similarity	NA	NRPS-like	NRP
0423_1	0423_1_cont_00	1.2	1914182	1980952	scytalone/T3HN	60	T1PKS	Polyketide
0423_1	0423_1_cont_00	1.3	5353157	5419452	metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid	25	NRPS	NRP
0423_1	0423_1_cont_00	1.4	5844414	5935407	no_known_similarity	NA	fungal-RiPP-like	Other
0423_1	0423_1_cont_00	1.5	6539989	6600921	no_known_similarity	NA	T3PKS	Polyketide
0423_1	0423_1_cont_01	2.1	602607	663788	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_01	2.2	819214	919300	alternapyrone B/alternapyrone C/alternapyrone D/alternapyrone E/alternapyrone F	50	T1PKS	Polyketide
0423_1	0423_1_cont_01	2.3	1153458	1215470	no_known_similarity	NA	T3PKS	Polyketide
0423_1	0423_1_cont_01	2.4	2217967	2249223	no_known_similarity	NA	indole	Indole
0423_1	0423_1_cont_01	2.5	3171629	3235471	choline	100	NRPS-like	NRP
0423_1	0423_1_cont_01	2.6	3560959	3633143	no_known_similarity	NA	NRPS	NRP
0423_1	0423_1_cont_01	2.7	3640045	3745509	monacolin K	22	fungal-RiPP-like,T1PKS,terpene	Polyketide
0423_1	0423_1_cont_01	2.8	5643849	5675569	no_known_similarity	NA	terpene	Terpene
0423_1	0423_1_cont_02	3.1	891069	982274	no_known_similarity	NA	fungal-RiPP-like	Other
0423_1	0423_1_cont_02	3.2	1528039	1595824	epipyriculol	58	T1PKS	Polyketide
0423_1	0423_1_cont_03.0	4.1	149468	212846	no_known_similarity	NA	NRPS-like	NRP
0423_1	0423_1_cont_03.0	4.2	1051486	1075351	clavaric acid	100	terpene	Terpene
0423_1	0423_1_cont_03.0	4.3	1643259	1752622	no_known_similarity	NA	fungal-RiPP-like,terpene	Terpene
0423_1	0423_1_cont_03.0	4.4	2375148	2403010	brassicicene C	22	indole	Terpene
0423_1	0423_1_cont_03.0	4.5	2540221	2571367	brassicicene C	22	indole	Terpene
0423_1	0423_1_cont_03.1	5.1	611509	702384	no_known_similarity	NA	fungal-RiPP-like	Other
0423_1	0423_1_cont_04	6.1	957	39086	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_04	6.2	692007	751338	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_04	6.3	1254059	1317198	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_04	6.4	1529690	1654002	no_known_similarity	NA	NRPS,T1PKS,terpene	NRP_PKS
0423_1	0423_1_cont_04	6.5	2927896	2998513	no_known_similarity	NA	NRPS	NRP
0423_1	0423_1_cont_04	6.6	3034940	3100766	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
0423_1	0423_1_cont_04	6.7	3245519	3306269	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_04	6.8	3407662	3485421	no_known_similarity	NA	NRPS	NRP
0423_1	0423_1_cont_04	6.9	3751244	3844967	no_known_similarity	NA	fungal-RiPP-like	Other
0423_1	0423_1_cont_04	6.10	4504002	4571249	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_05	7.1	102897	175100	no_known_similarity	NA	NRPS	NRP
0423_1	0423_1_cont_05	7.2	794229	844959	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_05	7.3	973441	1063718	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_05	7.4	1088358	1170285	no_known_similarity	NA	fungal-RiPP-like	Other
0423_1	0423_1_cont_05	7.5	1508841	1572161	no_known_similarity	NA	NRPS-like	NRP
0423_1	0423_1_cont_05	7.6	1628991	1690452	cercosporin	31	T1PKS	Polyketide
0423_1	0423_1_cont_05	7.7	2482322	2573139	no_known_similarity	NA	fungal-RiPP-like	Other
0423_1	0423_1_cont_05	7.8	2829088	2851993	no_known_similarity	NA	terpene	Terpene
0423_1	0423_1_cont_05	7.9	2961542	2993593	no_known_similarity	NA	terpene	Terpene
0423_1	0423_1_cont_05	7.10	3003550	3072142	nectriapyrone C/nectriapyrone D/nectriapyrone	100	T1PKS	Polyketide
0423_1	0423_1_cont_05	7.11	4372865	4404510	no_known_similarity	NA	indole	Indole
0423_1	0423_1_cont_06	8.1	1788233	1892135	no_known_similarity	NA	T1PKS	Polyketide
0423_1	0423_1_cont_07	9.1	1211408	1287725	no_known_similarity	NA	NRPS	NRP
0423_1	0423_1_cont_07	9.2	2338180	2371347	no_known_similarity	NA	terpene	Terpene
0423_1	0423_1_cont_08	10.1	86895	158708	no_known_similarity	NA	NRPS,T1PKS	NRP_PKS
0423_1	0423_1_cont_08	10.2	334175	376591	no_known_similarity	NA	T1PKS	Polyketide
